Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
2019-09-30,89.20,885490,89.48,89.89,88.99,539160,409470,16.8
2019-10-01,88.03,1207380,89.20,89.20,87.83,75880,329900,-32.6
2019-10-02,87.34,2070220,88.03,88.03,86.79,720360,1205450,-61.5
2019-10-03,88.72,825310,87.34,88.72,86.31,157050,293680,-17.1
2019-10-04,88.44,641540,88.72,90.03,88.38,109170,260680,-19.6
2019-10-07,88.79,833680,88.44,89.41,88.17,212020,105630,13.7
2019-10-08,88.72,537440,88.79,88.93,88.44,102190,76540,3.3
2019-10-09,87.34,663150,88.72,88.72,87.21,119290,284480,-21.1
2019-10-10,87.34,442150,87.34,88.38,87.14,120930,190940,-8.9
2019-10-11,88.03,631310,87.34,88.03,87.28,388620,407970,-2.4
2019-10-14,88.44,586040,88.03,88.72,87.96,574770,467630,13.7
2019-10-15,88.24,1165130,88.44,89.06,87.83,620390,908120,-37.0
2019-10-16,89.68,1321580,88.24,90.03,88.24,519030,421320,12.7
2019-10-17,90.10,1409580,89.68,91.06,89.54,569520,228570,45.0
2019-10-18,91.13,1116920,90.10,91.47,90.44,589150,157850,57.0
2019-10-21,91.88,2006630,91.13,93.19,90.71,578360,453970,16.9
2019-10-22,91.13,1398920,91.88,92.43,90.99,792460,618780,23.3
2019-10-23,90.99,847820,91.13,91.26,90.23,298830,379820,-10.7
2019-10-24,91.20,520890,90.99,91.75,90.92,99590,55180,5.9
2019-10-25,92.50,816560,91.20,92.50,91.13,226940,30850,26.3
2019-10-28,92.02,558360,92.50,93.12,91.88,61150,53850,1.0
2019-10-29,92.23,520280,92.02,92.78,91.88,357340,57510,39.7
2019-10-30,90.78,1301690,92.23,92.71,90.10,180550,616300,-57.9
2019-10-31,89.41,2550480,90.78,90.78,88.58,491760,1743210,-163.2
2019-11-01,91.06,969370,89.41,91.47,89.54,642660,233870,54.0
2019-11-04,90.30,1407970,91.06,91.47,89.82,1270560,1146290,16.4
2019-11-05,88.86,1876790,90.30,90.30,88.86,541730,1206400,-86.4
2019-11-06,89.48,1184100,88.86,89.75,88.38,832140,1012200,-23.4
2019-11-07,88.79,866170,89.48,89.48,88.51,121850,613360,-63.8
2019-11-08,88.86,1193130,88.79,89.61,88.65,198180,803190,-78.3
2019-11-11,88.93,645500,88.86,89.54,88.72,355190,564620,-27.1
2019-11-12,87.69,1934480,88.93,88.93,87.55,177140,1532080,-173.3
2019-11-13,86.31,1956940,87.69,87.69,86.24,1848860,2952430,-139.0
2019-11-14,86.59,695470,86.31,86.93,86.38,84390,405420,-40.6
2019-11-15,84.59,2384360,86.59,86.66,82.53,157010,1369460,-149.5
2019-11-18,83.08,1671470,84.59,84.87,82.80,202730,863280,-80.0
2019-11-19,85.56,1078610,83.08,85.56,82.80,315750,357530,-5.1
2019-11-20,85.28,1150700,85.56,85.83,84.80,837270,687890,18.5
2019-11-21,83.91,1395000,85.28,85.28,83.70,779730,586820,23.6
2019-11-22,83.56,719680,83.91,84.73,83.42,6860220,6803730,6.9
2019-11-25,84.52,680740,83.56,84.80,82.94,324320,227320,11.9
2019-11-26,84.59,971390,84.52,85.28,84.39,1264900,1183000,10.2
2019-11-27,83.97,366920,84.59,85.07,83.97,76260,55320,2.6
2019-11-28,83.97,1107720,83.97,84.11,82.80,579590,519030,7.4
2019-11-29,83.56,549840,83.97,84.18,83.36,1702560,1651660,6.2
2019-12-02,81.36,1489150,83.56,83.56,81.36,574510,755340,-21.7
2019-12-03,80.05,1422610,81.36,81.36,79.85,490380,1115620,-73.1
2019-12-04,81.70,693700,80.05,81.70,80.05,299700,480430,-21.5
2019-12-05,81.02,694150,81.70,82.32,81.02,2158110,2233010,-8.8
2019-12-06,79.99,937120,81.02,81.09,79.99,297650,843490,-63.7
2019-12-09,81.22,766050,79.99,81.29,79.99,1039950,939270,12.1
2019-12-10,81.29,850090,81.22,81.64,80.81,1254114,1137014,13.8
2019-12-11,81.57,793940,81.29,81.57,80.67,1005590,1045330,-4.7
2019-12-12,81.98,701380,81.57,82.19,81.77,397960,355520,5.1
2019-12-13,81.15,564680,81.98,82.46,81.15,716000,724910,-1.1
2019-12-16,81.64,751280,81.15,81.70,80.95,649340,444850,24.2
2019-12-17,80.54,829630,81.64,81.70,80.54,647440,610830,4.3
2019-12-18,81.57,1400340,80.54,81.84,80.67,1505550,847330,78.1
2019-12-19,82.32,1582510,81.57,82.53,81.57,1698940,964590,87.9
2019-12-20,82.53,1822570,82.32,82.74,82.19,1198810,1306220,-12.9
2019-12-23,81.15,786100,82.53,82.53,81.15,397960,269200,15.3
2019-12-24,81.57,577000,81.15,81.70,81.15,360790,94530,31.6
2019-12-25,81.15,541190,81.57,82.19,80.95,22710,21670,0.1
2019-12-26,81.15,345150,81.15,81.85,81.15,82130,20350,7.2
2019-12-27,81.99,383460,81.15,82.19,80.46,101340,69880,3.7
2019-12-30,80.81,672140,81.99,81.99,80.81,360790,94530,31.6
2019-12-31,80.81,387640,80.81,82.54,80.74,64770,167390,-12.0
2020-01-02,81.78,352700,80.81,81.99,80.81,147810,95820,6.1
2020-01-03,82.06,625390,81.78,82.54,81.99,330020,9290,38.1
2020-01-06,81.43,495910,82.06,82.06,81.02,422986,304256,14.0
2020-01-07,82.19,459520,81.43,82.40,81.50,297110,27190,31.9
2020-01-08,82.40,837710,82.19,82.40,81.50,615220,51980,66.5
2020-01-09,82.26,624130,82.40,82.89,82.13,1126480,949080,21.1
2020-01-10,82.47,596280,82.26,82.68,82.13,809800,628710,21.5
2020-01-13,81.43,412880,82.47,82.54,81.43,399800,450330,-5.9
2020-01-14,81.71,335180,81.43,81.92,81.22,611050,510900,11.8
2020-01-15,81.71,681740,81.71,81.78,81.29,641720,515430,14.9
2020-01-16,81.99,545090,81.71,82.19,81.29,439820,309370,15.4
2020-01-17,82.26,375030,81.99,82.26,81.71,537950,250840,34.0
2020-01-20,82.54,493600,82.26,82.68,82.13,1389300,1324530,7.7
2020-01-21,83.93,853940,82.54,84.55,82.26,1364580,1258430,12.7
2020-01-22,84.14,794440,83.93,84.55,83.93,2572620,2520390,6.3
2020-01-30,80.88,1533720,84.14,84.14,80.60,1382930,2052280,-78.7
2020-01-31,75.26,1915820,80.88,80.88,75.26,839780,1293630,-51.2
2020-02-03,75.12,2289150,75.26,76.65,70.06,875760,614150,27.7
2020-02-04,72.83,1869040,75.12,76.30,72.21,823890,1327220,-53.3
2020-02-05,73.94,1545750,72.83,74.70,71.65,1027860,1395950,-40.0
2020-02-06,74.56,2137020,73.94,75.33,73.45,1506810,1749380,-26.1
2020-02-07,76.44,1523380,74.56,76.65,74.63,2131150,1842600,31.5
2020-02-10,75.61,910510,76.44,76.44,74.43,559030,620430,-6.6
2020-02-11,74.36,885960,75.61,75.61,74.22,682510,946010,-28.4
2020-02-12,74.36,838170,74.36,74.91,74.36,396660,495990,-10.7
2020-02-13,74.15,713560,74.36,74.56,73.94,362580,335240,2.9
2020-02-14,73.94,708080,74.15,74.50,73.94,570600,639440,-7.4
2020-02-17,74.56,623350,73.94,74.63,74.08,777510,695070,8.9
2020-02-18,73.18,1078500,74.56,74.77,73.04,233790,485180,-26.7
2020-02-19,73.80,794470,73.18,74.01,72.83,462730,617220,-16.3
2020-02-20,73.80,624620,73.80,74.56,73.73,301640,370320,-7.3
2020-02-21,75.26,1484500,73.80,75.88,74.56,586750,464420,13.3
2020-02-24,73.80,954600,75.26,75.26,73.52,710920,486080,23.9
2020-02-25,74.91,1200220,73.80,75.26,73.52,1523430,1069760,49.0
2020-02-26,72.83,1346630,74.91,74.91,72.83,699640,1359500,-69.8
2020-02-27,74.50,863890,72.83,74.50,72.00,1697240,1030570,70.6
2020-02-28,72.48,1437350,74.50,74.50,71.44,7625030,7982120,-37.4
2020-03-02,72.48,909240,72.48,73.18,72.00,1038470,1313970,-28.9
2020-03-03,73.04,741380,72.48,73.66,72.55,1669950,1773610,-10.9
2020-03-04,72.69,612800,73.04,73.52,72.48,715710,917070,-21.1
2020-03-05,72.48,438020,72.69,73.45,72.48,544670,568340,-2.5
2020-03-06,72.28,664920,72.48,72.69,71.86,692670,597950,9.9
2020-03-09,67.28,2356790,72.28,72.28,67.28,1281570,983450,30.6
2020-03-10,70.54,1761300,67.28,70.61,66.59,1597470,1036640,56.2
2020-03-11,70.47,2292410,70.54,72.83,68.81,2157690,951200,123.6
2020-03-12,69.99,2431600,70.47,70.47,67.28,2433250,2110360,32.6
2020-03-13,68.74,2159130,69.99,69.99,66.03,1630260,1763000,-12.8
2020-03-16,67.28,1087080,68.74,68.81,66.93,669890,832280,-15.9
2020-03-17,66.59,1788240,67.28,67.28,65.89,746550,1447240,-67.3
2020-03-18,65.89,1322150,66.59,67.84,65.89,454140,908590,-43.4
2020-03-19,61.73,2774560,65.89,65.89,61.73,1272870,1971830,-63.2
2020-03-20,62.43,2316660,61.73,63.33,61.73,1768310,2148580,-34.3
2020-03-23,58.06,2187710,62.43,62.43,58.06,384690,763000,-32.1
2020-03-24,59.72,1739530,58.06,61.25,58.06,342070,445620,-8.8
2020-03-25,63.81,2993020,59.72,63.88,62.50,1991740,1574180,38.4
2020-03-26,65.20,2556450,63.81,65.89,61.59,4000130,2866990,106.5
2020-03-27,65.27,2755950,65.20,66.10,63.81,2838850,2193950,60.7
2020-03-30,63.26,1559900,65.27,65.27,61.73,1170370,975630,17.8
2020-03-31,63.12,1293290,63.26,64.78,62.43,1088400,1473680,-35.2
2020-04-01,65.20,1155730,63.12,65.20,63.12,629510,581590,4.6
2020-04-03,65.89,1934430,65.20,66.24,65.20,1127340,1228870,-9.6
2020-04-06,66.73,1840550,65.89,67.00,65.89,325850,965840,-61.6
2020-04-07,68.32,2273090,66.73,68.67,66.45,2141180,1843730,29.3
2020-04-08,68.67,904920,68.32,68.67,66.93,1853230,1781840,7.1
2020-04-09,69.43,1220550,68.67,69.99,68.81,1093660,1100440,-0.7
2020-04-10,69.09,1111470,69.43,69.43,68.04,788790,635980,15.2
2020-04-13,68.74,1127670,69.09,69.22,68.18,772750,842340,-6.9
2020-04-14,68.67,1059560,68.74,69.15,68.46,1350400,1103680,24.5
2020-04-15,68.81,886130,68.67,69.15,68.81,1442310,1575420,-13.3
2020-04-16,68.88,1155660,68.81,69.02,68.60,1205530,1566920,-35.9
2020-04-17,68.88,1767310,68.88,69.43,68.67,1119040,1954500,-82.9
2020-04-20,69.36,1471680,68.88,70.19,69.36,788070,1214120,-42.7
2020-04-21,67.14,2129360,69.36,69.36,66.45,3457600,3387080,6.8
2020-04-22,67.63,1085950,67.14,67.70,66.45,985390,1677120,-67.2
2020-04-23,66.66,1443180,67.63,68.39,66.52,163690,1106140,-91.1
2020-04-24,71.30,3624460,66.66,71.30,67.63,717710,1676470,-97.0
2020-04-27,71.30,1950560,71.30,73.87,71.30,370080,883610,-53.4
2020-04-28,69.71,1401520,71.30,71.44,69.15,550200,1098500,-55.3
2020-04-29,68.67,1769090,69.71,69.71,68.67,620700,1383110,-75.6
2020-05-04,67.70,1235970,68.67,68.67,67.28,575930,669020,-9.0
2020-05-05,69.71,1163800,67.70,69.99,67.98,2317400,2078330,23.6
2020-05-06,70.40,1105020,69.71,70.40,69.15,1905800,1887630,1.8
2020-05-07,71.72,1583260,70.40,72.00,70.40,2655150,2263630,40.0
2020-05-08,72.83,3184170,71.72,74.63,72.14,1784420,1278573,53.6
2020-05-11,75.26,1792200,72.83,75.26,72.62,1047590,208350,89.7
2020-05-12,79.00,2944650,75.26,79.35,74.50,1565540,165740,155.0
2020-05-13,78.87,2507730,79.00,79.77,76.30,2357420,1457676,102.1
2020-05-14,78.38,1397750,78.87,79.00,78.03,897660,183890,80.9
2020-05-15,76.85,2320230,78.38,78.73,75.88,1952520,2188900,-26.3
2020-05-18,77.06,898370,76.85,77.55,75.61,673880,690910,-1.9
2020-05-19,78.10,1432400,77.06,79.35,77.89,551050,647180,-10.9
2020-05-20,79.07,1199680,78.10,79.35,78.03,835010,377200,52.1
2020-05-21,79.77,1582090,79.07,79.77,78.73,1029740,450080,66.3
2020-05-22,79.35,1083060,79.77,79.77,78.73,666280,285610,43.6
2020-05-25,81.57,1581860,79.35,81.57,79.14,1006230,254820,87.4
2020-05-26,81.57,983170,81.57,81.85,79.91,622710,258490,42.8
2020-05-27,79.77,1108350,81.57,81.71,79.77,359730,304490,6.4
2020-05-28,79.63,1004500,79.77,80.46,79.63,547360,520300,3.1
2020-05-29,79.77,1203680,79.63,79.91,78.73,1265690,1062930,23.3
2020-06-01,80.53,1047020,79.77,81.15,79.84,774640,459750,36.7
2020-06-02,80.46,891910,80.53,81.15,80.25,631820,342420,33.7
2020-06-03,80.88,1322080,80.46,81.92,80.18,947590,610110,39.4
2020-06-04,81.71,735420,80.88,81.78,81.15,600720,264590,39.6
2020-06-05,82.68,1076470,81.71,82.68,80.95,602180,49790,65.4
2020-06-08,85.18,1419750,82.68,85.59,82.61,813510,280600,65.3
2020-06-09,86.70,1704320,85.18,87.40,85.39,612500,730160,-14.8
2020-06-10,85.32,1242180,86.70,87.40,85.18,817400,629630,23.6
2020-06-11,84.83,1098260,85.32,86.70,83.93,482970,318640,20.4
2020-06-12,81.85,2394330,84.83,84.83,79.49,505930,1590500,-127.4
2020-06-15,77.69,2058870,81.85,83.86,77.69,530210,1231360,-80.7
2020-06-16,81.15,844740,77.69,81.50,79.07,1184250,1218620,-3.9
2020-06-17,80.18,513570,81.15,81.29,80.04,159120,197990,-4.5
2020-06-18,79.91,523160,80.18,80.88,79.14,163720,271640,-12.4
2020-06-19,79.77,1251600,79.91,80.81,79.77,650300,1402140,-86.6
2020-06-22,80.04,867620,79.77,80.39,79.63,181390,471810,-33.5
2020-06-23,80.46,1063470,80.04,80.74,80.18,417850,735930,-36.9
2020-06-24,81.22,750960,80.46,82.13,80.74,239240,263250,-2.8
2020-06-25,80.74,572770,81.22,81.22,79.98,174880,329880,-17.9
2020-06-26,80.39,495750,80.74,81.22,80.04,50340,250550,-23.2
2020-06-29,78.63,1519040,80.39,80.39,77.37,228570,819450,-66.1
2020-06-30,79.20,797960,78.63,79.76,78.63,402030,367730,3.9
2020-07-01,80.60,450020,79.20,80.81,78.70,293660,70850,25.3
2020-07-02,79.41,720480,80.60,80.74,79.41,368160,421030,-6.0
2020-07-03,80.18,729290,79.41,80.25,79.27,554070,450820,11.8
2020-07-06,81.87,1319980,80.18,81.94,80.32,1409010,1118644,33.6
2020-07-07,81.52,1024960,81.87,82.29,81.52,542450,539050,0.4
2020-07-08,81.16,551310,81.52,81.52,81.16,625340,601500,2.8
2020-07-09,81.45,1560410,81.16,82.01,81.16,1034080,1012240,2.6
2020-07-10,81.02,677180,81.45,81.80,81.02,1211630,1273270,-7.1
2020-07-13,80.67,943850,81.02,81.38,80.32,489460,692490,-23.4
2020-07-14,80.95,731170,80.67,80.95,80.04,322800,284520,4.4
2020-07-15,81.52,1015000,80.95,82.22,81.52,1256380,1189650,7.8
2020-07-16,82.57,1112460,81.52,82.57,81.66,1025259,761689,30.6
2020-07-17,82.08,583510,82.57,82.57,81.87,408450,150940,30.1
2020-07-20,81.30,474700,82.08,82.08,81.16,554890,537420,2.0
2020-07-21,81.52,1618780,81.30,81.73,80.53,1478590,1775030,-34.1
2020-07-22,80.18,1051320,81.52,81.52,80.18,661350,1010430,-40.1
2020-07-23,80.25,766500,80.18,80.53,79.76,691560,779850,-10.1
2020-07-24,78.07,2313270,80.25,80.25,76.60,551470,902080,-39.3
2020-07-27,72.66,2553780,78.07,78.07,72.66,634850,1497990,-90.6
2020-07-28,77.23,1390810,72.66,77.23,73.08,908220,717750,20.4
2020-07-29,74.49,1497450,77.23,77.23,74.14,729140,687590,4.6
2020-07-30,76.60,1028620,74.49,76.95,75.05,926990,885440,4.6
2020-07-31,75.19,839830,76.60,76.74,74.84,636310,382790,27.5
2020-08-03,76.74,860190,75.19,77.30,75.68,284560,415360,-14.3
2020-08-04,78.21,765170,76.74,78.21,77.23,501300,493440,0.9
2020-08-05,78.78,888080,78.21,79.83,77.30,532930,702310,-19.0
2020-08-06,80.67,1360570,78.78,81.52,78.78,561650,185270,43.1
2020-08-07,81.16,1148200,80.67,81.52,80.67,707310,347700,41.5
2020-08-10,80.46,1412680,81.16,81.87,80.46,530010,822160,-33.8
2020-08-11,80.46,852250,80.46,80.81,80.11,1018950,1117860,-11.3
2020-08-12,81.23,1451960,80.46,81.45,80.46,859900,172550,79.4
2020-08-13,81.80,1238980,81.23,81.94,81.45,603990,218060,44.9
2020-08-14,82.01,1623690,81.80,82.92,81.66,253060,492920,-28.1
2020-08-17,82.22,906890,82.01,82.85,81.02,90450,95460,-0.6
2020-08-18,81.23,604570,82.22,82.50,81.23,177350,463680,-33.3
2020-08-19,81.02,981840,81.23,81.52,80.74,131250,445330,-36.3
2020-08-20,80.95,1254280,81.02,81.38,80.53,210670,559650,-40.2
2020-08-21,81.23,884990,80.95,81.52,80.88,95980,563588,-54.0
2020-08-24,81.87,1526860,81.23,82.64,81.52,254310,1077040,-95.9
2020-08-25,82.43,1693030,81.87,82.85,82.08,331490,911620,-68.0
2020-08-26,82.29,1922780,82.43,83.06,82.15,243390,1033190,-92.9
2020-08-27,82.36,799570,82.29,82.85,82.22,481480,801540,-37.6
2020-08-28,83.83,1341270,82.36,84.33,82.36,896440,781810,13.5
2020-08-31,85.03,1634090,83.83,85.03,83.98,654450,593070,7.5
2020-09-01,86.58,1448060,85.03,86.58,84.47,433630,356040,9.5
2020-09-03,87.63,2016680,86.58,87.70,86.79,1374900,1200180,21.7
2020-09-04,87.84,1711980,87.63,87.84,86.50,1318600,854740,57.6
2020-09-07,88.54,2178380,87.84,90.23,87.77,1829440,1218100,77.7
2020-09-08,87.28,1809570,88.54,89.53,87.07,1537910,2146470,-75.8
2020-09-09,87.00,1621920,87.28,87.28,85.38,131940,405240,-33.7
2020-09-10,87.63,848330,87.00,88.12,87.42,259920,477400,-27.2
2020-09-11,87.00,956670,87.63,87.63,86.79,615780,1026360,-50.9
2020-09-14,87.28,1194170,87.00,87.84,87.14,521950,830230,-38.3
2020-09-15,87.70,882030,87.28,87.77,87.14,495170,851690,-44.3
2020-09-16,87.28,724510,87.70,87.84,87.07,51630,399240,-43.2
2020-09-17,87.49,1376570,87.28,88.40,87.14,177510,373340,-24.4
2020-09-18,88.82,1224030,87.49,88.82,87.28,578020,594250,-1.7
2020-09-21,91.42,2614310,88.82,91.49,88.82,949790,480720,60.7
2020-09-22,91.07,1244610,91.42,91.49,90.30,597660,368520,29.8
2020-09-23,90.79,1042800,91.07,91.49,90.72,132580,210120,-10.0
2020-09-24,89.46,1506610,90.79,90.79,89.46,326110,807220,-61.5
2020-09-25,89.74,1011140,89.46,89.95,89.60,318720,509050,-24.3
2020-09-28,90.16,2169790,89.74,90.37,89.46,121770,1078360,-122.3
2020-09-29,93.54,5191680,90.16,96.46,92.51,332110,1933290,-176.0
