Date,Matched Price,Volume,Open Price,High Price,Low Price,Foreign Buy,Foreign Sell,Foreign Value
1/2/2020,81.78,352700,80.81,81.99,80.81,147810,95820,6.1
1/3/2020,82.06,625390,81.78,82.54,81.99,330020,9290,38.1
1/6/2020,81.43,495910,82.06,82.06,81.02,422986,304256,14
1/7/2020,82.19,459520,81.43,82.4,81.5,297110,27190,31.9
1/8/2020,82.4,837710,82.19,82.4,81.5,615220,51980,66.5
1/9/2020,82.26,624130,82.4,82.89,82.13,1126480,949080,21.1
1/10/2020,82.47,596280,82.26,82.68,82.13,809800,628710,21.5
1/13/2020,81.43,412880,82.47,82.54,81.43,399800,450330,-5.9
1/14/2020,81.71,335180,81.43,81.92,81.22,611050,510900,11.8
1/15/2020,81.71,681740,81.71,81.78,81.29,641720,515430,14.9
1/16/2020,81.99,545090,81.71,82.19,81.29,439820,309370,15.4
1/17/2020,82.26,375030,81.99,82.26,81.71,537950,250840,34
1/20/2020,82.54,493600,82.26,82.68,82.13,1389300,1324530,7.7
1/21/2020,83.93,853940,82.54,84.55,82.26,1364580,1258430,12.7
1/22/2020,84.14,794440,83.93,84.55,83.93,2572620,2520390,6.3
1/30/2020,80.88,1533720,84.14,84.14,80.6,1382930,2052280,-78.7
1/31/2020,75.26,1915820,80.88,80.88,75.26,839780,1293630,-51.2
2/3/2020,75.12,2289150,75.26,76.65,70.06,875760,614150,27.7
2/4/2020,72.83,1869040,75.12,76.3,72.21,823890,1327220,-53.3
2/5/2020,73.94,1545750,72.83,74.7,71.65,1027860,1395950,-40
2/6/2020,74.56,2137020,73.94,75.33,73.45,1506810,1749380,-26.1
2/7/2020,76.44,1523380,74.56,76.65,74.63,2131150,1842600,31.5
2/10/2020,75.61,910510,76.44,76.44,74.43,559030,620430,-6.6
2/11/2020,74.36,885960,75.61,75.61,74.22,682510,946010,-28.4
2/12/2020,74.36,838170,74.36,74.91,74.36,396660,495990,-10.7
2/13/2020,74.15,713560,74.36,74.56,73.94,362580,335240,2.9
2/14/2020,73.94,708080,74.15,74.5,73.94,570600,639440,-7.4
2/17/2020,74.56,623350,73.94,74.63,74.08,777510,695070,8.9
2/18/2020,73.18,1078500,74.56,74.77,73.04,233790,485180,-26.7
2/19/2020,73.8,794470,73.18,74.01,72.83,462730,617220,-16.3
2/20/2020,73.8,624620,73.8,74.56,73.73,301640,370320,-7.3
2/21/2020,75.26,1484500,73.8,75.88,74.56,586750,464420,13.3
2/24/2020,73.8,954600,75.26,75.26,73.52,710920,486080,23.9
2/25/2020,74.91,1200220,73.8,75.26,73.52,1523430,1069760,49
2/26/2020,72.83,1346630,74.91,74.91,72.83,699640,1359500,-69.8
2/27/2020,74.5,863890,72.83,74.5,72,1697240,1030570,70.6
2/28/2020,72.48,1437350,74.5,74.5,71.44,7625030,7982120,-37.4
3/2/2020,72.48,909240,72.48,73.18,72,1038470,1313970,-28.9
3/3/2020,73.04,741380,72.48,73.66,72.55,1669950,1773610,-10.9
3/4/2020,72.69,612800,73.04,73.52,72.48,715710,917070,-21.1
3/5/2020,72.48,438020,72.69,73.45,72.48,544670,568340,-2.5
3/6/2020,72.28,664920,72.48,72.69,71.86,692670,597950,9.9
3/9/2020,67.28,2356790,72.28,72.28,67.28,1281570,983450,30.6
3/10/2020,70.54,1761300,67.28,70.61,66.59,1597470,1036640,56.2
3/11/2020,70.47,2292410,70.54,72.83,68.81,2157690,951200,123.6
3/12/2020,69.99,2431600,70.47,70.47,67.28,2433250,2110360,32.6
3/13/2020,68.74,2159130,69.99,69.99,66.03,1630260,1763000,-12.8
3/16/2020,67.28,1087080,68.74,68.81,66.93,669890,832280,-15.9
3/17/2020,66.59,1788240,67.28,67.28,65.89,746550,1447240,-67.3
3/18/2020,65.89,1322150,66.59,67.84,65.89,454140,908590,-43.4
3/19/2020,61.73,2774560,65.89,65.89,61.73,1272870,1971830,-63.2
3/20/2020,62.43,2316660,61.73,63.33,61.73,1768310,2148580,-34.3
3/23/2020,58.06,2187710,62.43,62.43,58.06,384690,763000,-32.1
3/24/2020,59.72,1739530,58.06,61.25,58.06,342070,445620,-8.8
3/25/2020,63.81,2993020,59.72,63.88,62.5,1991740,1574180,38.4
